Stock,"Market Cap","Current Price","High / Low","Stock P/E","Book Value","Dividend Yield",ROCE,ROE,"Face Value"
IFBIND,"5,657","1,396","1,425",119,170,0.00,6.73,2.66,10.0
VRLLOG,"5,229",598,799,40.8,104,0.84,17.9,39.7,10.0
GUJALKALI,"5,967",812,870,"6,704",847,2.92,13.1,9.43,10.0
TATACONSUM,"1,10,133","1,156","1,216",98.3,135,0.73,10.5,7.87,1.00
STARCEMENT,"8,662",214,220,40.1,38.4,0.00,18.1,11.9,1.00
VINATIORGA,"17,126","1,666","2,034",49.2,225,0.42,30.4,22.6,1.00
IKIO,"2,319",300,477,80.2,60.6,0.00,35.4,27.7,10.0
IRCTC,"78,752",984,"1,050",69.3,35.6,0.57,59.2,45.4,2.00
SYRMA,"9,488",534,705,210,81.4,0.29,8.58,5.50,10.0
GATEWAY,"5,394",108,122,20.8,36.3,1.85,12.8,14.0,10.0
ASTERDM,"23,028",461,487,106,65.0,0.00,6.55,6.50,10.0
ICICIGI,"81,301","1,650","1,667",44.3,238,0.92,21.2,17.6,10.0
360ONE,"27,052",754,755,47.3,68.8,2.25,17.0,20.8,1.00
CROMPTON,"18,599",290,328,42.3,45.4,1.03,17.4,17.8,2.00
SBCL,"3,172",551,750,42.4,50.5,0.22,37.7,33.0,2.00
AWL,"52,845",407,509,197,60.5,0.00,15.4,7.93,1.00
RATNAMANI,"20,954","2,990","3,939",32.9,417,0.40,27.2,20.8,2.00
LGBBROSLTD,"3,698","1,178","1,425",14.7,462,1.35,24.3,18.9,10.0
KKCL,"4,667",757,827,31.4,106,0.65,26.2,21.8,10.0
HGINFRA,"5,937",911,"1,019",13.2,299,0.14,31.9,26.8,10.0
UJJIVANSFB,"10,436",53.3,63.0,8.30,20.5,2.33,10.6,33.3,10.0
ISEC,"27,174",841,866,19.1,100,2.26,18.0,42.4,5.00
WIPRO,"2,75,722",528,546,30.8,102,0.19,19.5,15.7,2.00
BANKINDIA,"62,326",137,156,9.87,144,1.46,4.45,6.90,10.0
CANFINHOME,"10,749",807,910,15.2,298,0.44,8.36,18.5,2.00
JUBLINGREA,"7,393",464,525,43.5,140,1.05,15.5,12.3,1.00
AARTIPHARM,"4,619",510,595,26.0,169,0.38,15.6,12.6,5.00
EMIL,"7,714",200,245,43.0,33.3,0.00,12.0,13.8,10.0
ADANIGREEN,"3,09,465","1,954","1,992",,32.8,0.00,3.23,-6.59,10.0
PERSISTENT,"64,202","8,346","8,980",60.6,588,0.47,28.8,22.1,10.0
KAJARIACER,"20,019","1,257","1,524",52.3,155,0.72,20.5,15.6,1.00
UFLEX,"3,088",428,500,17.0,410,0.69,10.1,8.66,10.0
VOLTAS,"36,086","1,091","1,117",66.3,217,0.40,8.86,8.27,1.00
HSCL,"16,173",367,399,43.3,56.3,0.07,13.7,11.7,1.00
KRBL,"7,835",342,471,13.1,201,0.28,20.9,16.0,1.00
PGEL,"4,800","1,844","2,570",77.0,342,0.00,14.0,13.3,10.0
JUSTDIAL,"7,969",937,952,24.1,449,0.00,1.70,1.30,10.0
PRSMJOHNSN,"8,557",170,199,,27.7,0.00,3.65,-4.07,10.0
SOUTHBANK,"7,676",36.7,40.2,6.89,31.9,0.81,5.23,12.4,1.00
ZYDUSLIFE,"94,712",936,945,35.3,144,0.64,14.2,12.1,1.00
GRAPHITE,"11,803",604,626,98.1,269,1.41,9.90,7.68,2.00
GABRIEL,"5,162",359,444,31.0,65.1,0.71,22.0,16.2,1.00
INDIAGLYCO,"2,700",872,979,17.5,530,0.85,9.03,7.20,10.0
UNIPARTS,"2,491",552,723,15.7,119,2.60,37.3,33.3,10.0
SOBHA,"14,022","1,478","1,578",166,246,0.21,8.28,4.12,10.0
COFORGE,"40,440","6,545","6,847",40.9,452,0.98,33.6,32.4,10.0
CHOLAFIN,"93,559","1,114","1,310",29.1,188,0.18,9.71,20.5,2.00
CHAMBLFERT,"14,952",359,403,11.2,183,2.07,16.8,15.9,10.0
BIOCON,"32,590",271,307,675,90.4,0.54,1.51,-0.14,5.00
LICHSGFIN,"35,760",650,670,7.36,530,1.30,7.59,11.2,2.00
OPTIEMUS,"2,558",298,381,87.5,47.2,0.50,10.8,8.87,10.0
JYOTHYLAB,"17,316",472,554,49.4,26.5,0.64,31.3,27.2,1.00
CAMS,"15,383","3,130","3,180",49.4,163,1.19,48.5,39.7,10.0
UNIONBANK,"1,08,963",147,155,8.26,115,2.05,5.02,11.3,10.0
HAVELLS,"89,208","1,424","1,472",75.2,110,0.52,22.4,17.1,1.00
WSTCSTPAPR,"4,272",647,815,7.62,349,1.56,40.1,33.1,2.00
SPARC,"11,488",354,424,,10.2,0.00,-106,-144,1.00
MRPL,"42,238",241,289,9.64,67.9,0.42,20.1,31.1,10.0
INDIGOPNTS,"6,782","1,424","1,700",47.2,172,0.24,21.6,18.4,10.0
ITDCEM,"6,121",356,375,27.5,77.2,0.21,18.2,10.4,1.00
CYIENT,"22,977","2,073","2,459",46.5,253,1.28,17.2,13.4,5.00
KANSAINER,"24,179",299,357,36.3,66.7,0.60,14.5,11.0,1.00
TIDEWATER,"2,938","1,686","1,835",30.5,405,2.49,15.8,12.6,2.00
CGPOWER,"64,880",425,503,73.3,19.5,0.35,41.1,34.8,2.00
MAHLOG,"2,925",406,460,38.8,90.6,0.62,11.3,10.4,10.0
PGHL,"8,466","5,100","5,643",37.4,485,1.84,45.5,33.5,10.0
HINDUNILVR,"5,60,847","2,387","2,770",54.6,214,1.64,26.2,20.2,1.00
ROUTE,"10,010","1,598","1,760",83.8,186,0.69,9.84,7.98,10.0
STARHEALTH,"33,641",575,675,41.8,115,0.00,14.7,12.3,10.0
GREENLAM,"6,947",545,626,45.6,77.5,0.28,14.5,15.2,1.00
PNBHOUSING,"18,849",726,914,13.8,545,0.00,8.27,10.2,10.0
IRFC,"2,00,928",154,193,33.3,36.9,0.96,5.32,14.7,10.0
VESUVIUS,"6,905","3,402","3,971",32.4,588,0.24,25.9,19.4,10.0
BALMLAWRIE,"4,390",257,291,20.8,77.7,2.90,16.1,11.4,10.0
SHOPERSTOP,"8,173",743,890,112,23.9,0.00,16.4,70.5,5.00
MASTEK,"9,066","2,955","3,147",81.0,250,0.65,15.3,12.4,5.00
POWERGRID,"2,68,555",289,290,17.4,93.2,3.83,13.5,20.6,10.0
AIAENG,"35,106","3,722","4,630",36.1,618,0.43,24.1,19.1,2.00
ABCAPITAL,"50,218",193,199,259,51.0,0.00,1.84,1.41,10.0
LINDEINDIA,"47,392","5,557","6,886",113,377,0.08,20.8,18.2,10.0
CANBK,"1,04,213",574,599,7.48,406,2.10,5.33,14.7,10.0
IBREALEST,"6,771",125,128,906,126,0.00,0.18,-0.24,2.00
JMFINANCIL,"9,880",103,115,33.6,41.8,1.72,8.32,7.23,1.00
CONFIPET,"3,221",111,120,30.4,26.3,0.09,13.5,12.7,1.00
DWARKESH,"1,512",80.3,110,14.1,42.0,2.46,15.5,14.9,1.00
EVEREADY,"2,511",346,442,68.2,50.3,0.00,11.8,6.40,5.00
AETHER,"11,505",868,"1,211",88.9,154,0.00,18.4,15.9,10.0
SAREGAMA,"7,922",410,466,43.9,73.9,0.97,17.3,12.6,1.00
SONACOMS,"38,409",655,670,75.8,40.8,0.42,21.8,18.2,10.0
BAJAJHLDNG,"98,324","8,835","8,991",56.6,"1,508",1.39,11.4,11.0,10.0
ATGL,"1,17,658","1,070","1,260",199,29.3,0.02,20.3,19.7,1.00
TORNTPOWER,"53,538","1,114","1,237",30.0,245,1.14,18.8,19.4,10.0
SUPRIYA,"2,837",353,394,23.6,93.6,0.17,18.6,13.7,2.00
AGI,"5,142",795,"1,089",18.2,262,0.61,14.8,17.4,2.00
RAYMOND,"12,246","1,840","2,240",20.8,367,0.16,19.2,23.6,10.0
SAIL,"52,107",126,150,17.1,129,1.18,5.74,3.23,10.0
BEML,"12,804","3,075","4,144",69.5,563,0.33,10.9,6.44,10.0
HINDWAREAP,"3,018",417,664,,17.3,0.12,12.0,8.73,2.00
ELGIEQUIP,"19,880",627,704,64.1,41.3,0.32,30.4,24.0,1.00
BANKBARODA,"1,40,506",272,281,7.97,190,2.04,5.15,15.3,2.00
NHPC,"92,645",92.2,116,25.6,37.3,2.01,8.07,11.1,10.0
METROPOLIS,"8,786","1,715","1,831",70.9,194,0.46,17.4,15.6,2.00
IDBI,"98,083",91.2,98.7,19.1,42.2,1.10,4.77,8.38,10.0
ERIS,"11,992",882,972,34.5,180,0.82,20.3,19.0,1.00
CDSL,"19,816","1,896","2,067",62.4,93.5,0.83,37.9,30.0,10.0
KIRIINDUS,"2,188",422,454,,88.0,0.00,-20.6,-24.0,10.0
LXCHEM,"7,372",268,321,58.3,53.6,0.19,12.9,9.93,2.00
RENUKA,"10,204",47.9,57.2,,0.65,0.00,8.91,-27.9,1.00
GRASIM,"1,45,885","2,184","2,245",98.6,732,0.45,5.58,4.32,2.00
MRF,"62,810","1,48,137","1,51,445",31.2,"36,754",0.12,7.49,4.86,10.0
CERA,"9,866","7,586","9,782",42.5,935,0.67,25.8,19.6,5.00
IOLCP,"2,422",413,536,14.0,271,1.20,13.7,9.68,10.0
EDELWEISS,"7,317",77.5,87.8,3.25,52.1,1.93,30.3,39.0,1.00
INDUSINDBK,"1,14,672","1,474","1,694",13.2,704,0.95,6.91,14.4,10.0
JSWSTEEL,"1,98,106",810,896,20.3,292,0.41,10.2,7.83,1.00
KOTAKBANK,"3,39,839","1,710","2,064",25.8,418,0.09,6.15,14.1,5.00
SIYSIL,"2,404",513,635,11.8,255,2.14,27.9,23.7,2.00
FDC,"7,775",478,487,26.2,121,0.00,13.2,10.0,1.00
DALMIASUG,"3,238",400,490,10.6,363,1.00,12.2,9.73,2.00
MCDOWELL-N,"83,904","1,154","1,180",74.2,89.6,0.34,20.4,16.4,2.00
SBIN,"6,75,593",757,778,10.9,367,1.51,5.09,16.5,1.00
PFIZER,"20,266","4,430","4,840",39.9,715,0.79,26.2,19.8,10.0
RELAXO,"20,814",836,974,103,76.2,0.30,11.8,8.65,1.00
ANGELONE,"25,237","3,006","3,900",24.0,306,1.28,44.2,47.8,10.0
PPLPHARMA,"17,959",136,149,112,48.0,0.00,3.71,1.40,10.0
BAJAJHIND,"4,703",36.8,40.5,,33.8,0.00,0.71,-4.01,1.00
DRREDDY,"1,07,213","6,427","6,495",26.9,"1,362",0.61,19.0,13.6,5.00
CRISIL,"35,847","4,903","5,250",53.6,204,1.10,57.6,52.2,1.00
APTUS,"17,031",341,392,36.4,65.3,1.15,13.5,14.4,2.00
JAMNAAUTO,"4,603",115,135,19.5,21.5,1.64,26.1,21.7,1.00
UNICHEMLAB,"3,824",543,580,,332,0.00,-5.98,-7.77,2.00
IOC,"2,45,003",174,197,5.45,115,2.86,6.32,6.20,10.0
TITAN,"3,24,117","3,651","3,887",92.8,142,0.27,26.3,31.2,1.00
GPPL,"10,031",208,218,27.0,43.2,2.92,20.6,15.5,10.0
SUNTV,"25,119",637,735,13.6,252,2.37,25.4,19.1,5.00
SPANDANA,"6,976",980,"1,243",15.1,462,0.00,5.97,0.41,10.0
YESBANK,"72,512",25.2,32.8,72.4,13.8,0.00,4.93,1.94,2.00
MANYAVAR,"23,929",985,"1,488",58.9,54.5,0.91,38.8,33.6,1.00
PNB,"1,38,794",126,133,21.7,90.7,0.52,4.04,2.56,2.00
FINPIPE,"13,371",216,260,29.6,89.0,0.71,6.13,4.88,2.00
ADANIPOWER,"2,16,181",560,589,9.94,99.3,0.00,17.9,44.1,10.0
TATAINVEST,"35,567","7,030","7,250",127,"4,648",0.69,1.33,1.24,10.0
SCHNEIDER,"13,868",580,643,63.7,9.23,0.00,27.6,"1,195",2.00
ASTRAZEN,"13,669","5,468","7,221",85.7,262,0.30,30.9,23.0,2.00
SYMPHONY,"6,328",918,"1,219",42.2,103,0.54,24.0,18.9,2.00
MARKSANS,"7,307",161,179,61.6,25.7,0.32,14.9,11.4,1.00
USHAMART,"9,677",318,380,30.8,38.4,0.77,25.7,21.3,1.00
UCOBANK,"69,225",57.9,70.7,40.6,21.6,0.00,4.75,7.55,10.0
VENKEYS,"2,565","1,821","2,315",36.2,954,0.33,7.76,5.54,10.0
SHREECEM,"94,374","26,156","30,738",40.1,"5,313",0.38,8.99,7.45,10.0
NAZARA,"5,159",780,990,,139,0.00,-2.65,-2.98,4.00
BAJFINANCE,"4,10,985","6,650","8,192",34.0,907,0.45,12.3,22.0,2.00
RELIANCE,"20,09,848","2,971","3,005",45.1,729,0.30,9.78,9.32,10.0
BECTORFOOD,"6,715","1,142","1,374",57.4,95.6,0.26,18.8,15.9,10.0
KNRCON,"7,527",268,306,17.8,104,0.09,24.2,15.8,2.00
ITC,"5,11,207",410,500,25.0,53.9,3.08,38.2,29.0,1.00
NOCIL,"4,570",274,298,38.5,98.3,1.09,13.4,9.95,10.0
AXISBANK,"3,34,765","1,085","1,152",14.9,408,0.09,4.97,7.97,2.00
ICICIPRULI,"75,630",525,616,82.8,76.9,0.11,9.99,8.42,10.0
SIS,"6,384",438,565,33.1,70.6,0.00,12.3,21.3,5.00
ALKEM,"63,868","5,342","5,560",37.1,848,0.66,13.2,12.6,2.00
THERMAX,"45,243","3,797","3,889",111,269,0.27,13.5,10.5,2.00
ENGINERSIN,"12,194",217,274,28.7,40.1,1.38,21.7,16.8,5.00
HNDFDS,"5,863",520,669,74.9,36.5,0.00,19.0,19.0,2.00
GRSE,"9,354",817,975,31.1,136,0.95,20.3,16.4,10.0
MAHABANK,"43,048",60.8,70.0,11.8,23.2,2.12,4.79,17.6,10.0
SBFC,"9,630",89.9,97.8,46.6,24.3,0.00,9.91,9.98,10.0
KSCL,"3,675",657,765,13.3,296,0.76,16.4,15.8,2.00
SUMICHEM,"19,017",381,467,57.1,50.6,0.31,30.2,23.4,10.0
PGHH,"53,649","16,527","19,250",71.0,324,0.64,101,80.6,10.0
CHOLAHLDNG,"19,864","1,058","1,296",327,66.6,0.05,6.29,4.78,1.00
ULTRACEMCO,"2,86,648","9,929","10,526",45.8,"1,892",0.38,13.0,9.58,10.0
EICHERMOT,"1,07,900","3,941","4,202",30.7,502,0.94,29.5,22.2,1.00
SANOFI,"20,622","8,954","9,380",35.0,441,2.17,71.1,51.5,10.0
HINDALCO,"1,13,732",506,621,36.7,269,0.57,8.48,5.88,1.00
PAYTM,"27,181",428,998,,196,0.00,-13.5,-13.9,1.00
ADVENZYMES,"4,523",404,425,36.9,49.7,0.99,14.9,11.2,2.00
SFL,"11,413","1,050","1,370",61.6,245,0.00,18.8,13.9,5.00
PRIVISCL,"4,797","1,228","1,366",92.9,218,0.00,5.60,2.80,10.0
ROSSARI,"4,173",755,904,43.2,164,0.07,11.7,8.64,2.00
PEL,"20,523",914,"1,140",18.0,967,3.37,9.54,10.1,2.00
APCOTEXIND,"2,447",472,589,39.6,95.6,1.15,28.0,24.7,2.00
OFSS,"67,407","7,778","8,198",32.2,573,2.89,39.4,30.0,5.00
ICICIBANK,"7,42,493","1,058","1,070",19.0,287,0.75,6.29,17.2,2.00
MAITHANALL,"3,233","1,111","1,336",10.4,975,0.53,23.1,17.4,10.0
M&MFIN,"36,110",292,347,19.8,137,2.08,8.96,12.4,2.00
ASHOKLEY,"50,854",173,192,20.8,29.9,1.53,20.2,16.5,1.00
SJVN,"48,297",123,170,54.5,36.4,1.43,11.3,10.3,10.0
GRAVITA,"6,852",993,"1,167",37.3,52.2,0.43,26.9,39.4,2.00
TEAMLEASE,"5,110","3,047","3,600",49.7,424,0.00,12.6,12.8,10.0
ZENTEC,"6,844",814,913,60.4,45.9,0.02,17.3,12.0,1.00
THYROCARE,"3,357",634,695,54.3,89.2,2.83,15.3,10.6,10.0
CASTROLIND,"19,743",200,214,22.9,21.4,3.77,57.5,43.1,5.00
DATAMATICS,"3,555",602,792,34.9,134,0.62,17.9,13.8,5.00
TIMETECHNO,"4,916",217,234,33.7,73.4,0.58,8.75,6.98,1.00
RTNPOWER,"5,537",10.3,12.3,31.3,10.5,0.00,9.25,6.11,10.0
HINDZINC,"1,31,788",312,344,15.8,32.4,24.2,50.4,44.5,2.00
IOB,"1,25,285",66.3,83.8,50.2,13.4,0.00,4.53,8.69,10.0
TIIL,"4,673","2,035","2,750",26.6,553,0.00,16.6,16.1,10.0
CAMLINFINE,"2,086",125,186,"4,345",46.1,0.00,11.0,7.73,1.00
MTARTECH,"6,075","1,975","2,920",74.1,215,0.00,22.2,17.9,10.0
AMIORG,"4,127","1,119","1,389",62.8,170,0.27,20.9,15.2,10.0
GICRE,"71,580",408,468,11.2,254,1.76,20.6,16.8,5.00
NSLNISP,"18,193",62.1,73.7,,,0.00,0.00,0.00,10.0
CUB,"10,006",135,168,10.2,101,0.75,6.01,13.4,1.00
VARROC,"7,836",513,632,28.3,35.5,0.00,4.58,-5.96,1.00
MGL,"14,907","1,509","1,559",11.5,474,1.70,26.8,20.4,10.0
KPIL,"16,050",988,"1,043",31.6,336,0.69,14.0,9.73,2.00
BOMDYEING,"3,683",178,195,,-64.7,0.00,1.04,,2.00
NUVOCO,"12,129",340,399,25.6,253,0.00,1.75,3.62,10.0
VMART,"3,886","1,965","2,461",,386,0.00,5.17,-1.18,10.0
BARBEQUE,"2,367",606,792,,110,0.00,6.91,0.86,5.00
HLEGLAS,"3,443",504,699,68.8,50.2,0.22,17.9,17.8,2.00
HBLPOWER,"14,057",507,612,60.8,38.2,0.09,13.3,10.3,1.00
ONGC,"3,39,856",270,281,8.91,223,4.10,23.6,18.4,5.00
DALBHARAT,"39,352","2,098","2,431",207,426,0.43,2.61,2.45,2.00
TARSONS,"2,558",481,646,46.3,111,0.00,19.0,15.2,2.00
UPL,"36,615",488,760,35.4,99.8,2.03,20.0,12.6,2.00
SHILPAMED,"3,826",441,455,597,246,0.00,-0.93,3.49,1.00
GESHIP,"13,806",967,"1,044",6.26,653,2.97,24.0,29.6,10.0
KARURVYSYA,"14,395",179,205,9.70,107,1.10,5.61,13.7,2.00
ACE,"13,763","1,156","1,211",48.9,86.9,0.09,26.8,19.3,2.00
MAHSEAMLES,"12,863",960,"1,099",12.1,381,0.52,20.7,18.3,5.00
CMSINFO,"6,243",398,421,19.5,103,1.19,28.2,20.2,10.0
HIL,"2,141","2,839","3,284",24.5,"1,576",1.56,14.6,12.2,10.0
RATEGAIN,"9,717",825,922,401,56.9,0.00,1.39,0.77,1.00
DELTACORP,"4,029",150,260,19.5,85.3,0.83,13.2,10.5,1.00
ATUL,"18,522","6,276","7,590",46.5,"1,635",0.40,16.8,12.8,10.0
SBICARD,"69,735",733,933,29.8,116,0.34,13.0,25.7,10.0
SHANTIGEAR,"3,957",516,645,52.0,42.6,0.96,32.1,23.8,1.00
STLTECH,"5,735",144,179,155,47.6,0.69,15.1,18.0,2.00
PRINCEPIPE,"6,436",582,776,30.9,131,0.00,12.3,9.17,10.0
FORTIS,"32,403",429,470,423,119,0.23,1.69,0.61,10.0
CARTRADE,"3,249",694,900,75.4,433,0.00,2.38,1.66,10.0
TTML,"17,397",89.0,109,,-97.9,0.00,39.8,,10.0
DELHIVERY,"33,860",460,488,,130,0.00,-8.23,-10.4,1.00
GREENPANEL,"4,747",387,450,27.9,104,0.39,26.7,22.7,1.00
ORIENTELEC,"4,443",208,279,61.4,28.8,0.71,19.2,13.5,1.00
ALKYLAMINE,"11,103","2,172","2,798",69.8,234,0.46,27.9,21.5,2.00
TEJASNET,"12,550",735,940,,180,0.00,1.63,0.38,10.0
TCIEXP,"4,567","1,191","1,701",33.0,172,0.67,32.6,24.6,2.00
ABFRL,"21,451",226,266,,38.7,0.00,7.71,3.24,10.0
KEC,"17,179",668,748,205,153,0.44,13.2,5.75,2.00
MEDPLUS,"8,287",693,978,"1,543",96.1,0.00,1.17,0.48,2.00
PARAS,"2,909",746,848,88.8,110,0.00,13.2,9.10,10.0
GOCOLORS,"6,118","1,133","1,405",72.4,105,0.00,17.7,16.8,10.0
LALPATHLAB,"20,197","2,419","2,767",55.1,217,0.75,22.1,18.4,10.0
SKFINDIA,"22,328","4,516","5,535",44.7,483,0.88,34.5,24.8,10.0
HDFCBANK,"10,83,160","1,426","1,758",16.8,502,1.34,6.12,17.0,1.00
JINDALPOLY,"2,527",577,749,7.57,"1,294",0.74,16.2,19.0,10.0
GODREJAGRO,"9,920",516,582,28.3,110,1.84,12.7,12.1,10.0
PRAJIND,"9,421",513,650,33.4,60.6,0.89,30.4,23.6,2.00
LTFOODS,"6,303",182,235,34.7,46.4,0.54,15.9,12.3,1.00
BLUEDART,"14,709","6,198","7,650",52.0,545,0.48,36.6,31.9,10.0
VGUARD,"13,459",310,335,67.9,37.9,0.42,14.5,12.0,1.00
ASIANPAINT,"2,75,064","2,868","3,568",51.5,170,0.89,36.5,28.3,1.00
TVSSCS,"8,322",189,258,119,56.6,0.00,3.21,-3.04,1.00
AFFLE,"15,803","1,127","1,337",218,67.5,0.00,10.3,7.63,2.00
NIACL,"44,842",272,325,48.2,160,0.70,4.94,4.19,5.00
HCG,"5,266",378,401,127,84.6,0.00,7.03,3.84,10.0
RHIM,"11,874",575,830,63.1,198,0.42,14.6,16.0,1.00
KIRLPNU,"4,575",706,760,43.4,126,0.76,19.5,14.6,2.00
REDINGTON,"16,581",212,220,15.9,42.3,3.37,37.0,37.9,2.00
JINDWORLD,"7,502",374,427,104,33.4,0.05,16.3,19.3,1.00
INDIANB,"70,204",521,574,9.68,385,1.64,4.55,11.5,10.0
CAMPUS,"7,650",251,418,96.0,19.4,0.00,23.0,23.8,5.00
FCL,"4,822",435,459,52.0,28.1,0.27,27.3,21.2,2.00
TVSMOTOR,"1,00,674","2,119","2,186",50.2,148,0.24,26.6,26.2,1.00
APLLTD,"20,610","1,048","1,094",34.6,228,0.75,7.10,7.14,2.00
GUFICBIO,"3,179",317,365,37.8,39.0,0.03,22.6,25.8,1.00
IDFC,"19,088",119,137,10.6,59.7,0.00,21.7,21.5,10.0
CENTRALBK,"56,261",64.8,76.9,24.3,33.5,0.00,4.26,5.59,10.0
SWANENERGY,"19,358",734,764,"4,566",48.5,0.01,1.44,0.22,1.00
VIPIND,"7,927",558,723,"1,015",46.1,0.80,24.7,26.5,2.00
HDFCLIFE,"1,24,308",578,711,82.0,65.8,0.34,9.54,9.55,10.0
DBCORP,"5,325",299,374,15.5,113,2.00,11.7,8.81,10.0
GREAVESCOT,"3,757",162,176,21.9,51.0,0.56,15.4,11.1,2.00
NESTLEIND,"2,48,323","2,576","2,771",82.7,32.1,0.65,135,108,1.00
GLOBUSSPR,"2,300",798,"1,328",17.3,321,0.75,18.5,14.7,10.0
DATAPATTNS,"13,940","2,490","2,490",84.0,215,0.19,19.6,14.2,2.00
WESTLIFE,"12,247",785,"1,025",206,31.5,0.43,-0.12,-0.15,2.00
TIMKEN,"20,841","2,771","3,576",58.7,294,0.05,28.0,21.1,10.0
SAFARI,"9,410","1,978","2,315",62.5,105,0.09,37.0,33.0,2.00
BAJAJFINSV,"2,57,999","1,617","1,742",220,40.6,0.05,20.3,15.2,1.00
SUBEXLTD,"2,131",37.8,45.8,,6.94,0.00,-16.5,-15.1,5.00
TCI,"6,391",823,"1,080",19.9,220,0.91,23.2,21.2,2.00
DREAMFOLKS,"2,582",494,847,33.6,37.4,0.10,76.9,60.2,2.00
ASTEC,"1,749",892,"1,542",,201,0.17,7.82,6.36,10.0
TCNSBRANDS,"2,403",380,542,,72.0,0.00,1.72,-3.17,2.00
SPLPETRO,"14,259",758,765,38.0,98.9,1.20,37.4,28.1,2.00
DABUR,"94,600",534,597,63.9,37.5,0.96,28.3,22.8,1.00
RAMCOCEM,"20,674",875,"1,058",48.6,294,0.22,6.55,5.14,1.00
POLYMED,"15,179","1,582","1,729",63.6,138,0.19,18.9,15.1,5.00
CIGNITITEC,"2,987","1,094","1,204",26.0,175,0.26,30.2,24.8,10.0
AVANTIFEED,"6,969",512,599,23.3,134,1.19,16.7,12.6,1.00
NETWORK18,"12,275",117,136,,8.15,0.00,-1.51,-19.4,5.00
SUDARSCHEM,"4,120",595,611,53.8,156,0.00,4.80,3.83,2.00
AMBUJACEM,"1,21,839",614,614,51.5,122,0.41,14.2,11.7,2.00
KRSNAA,"2,164",670,789,41.6,236,0.38,11.9,8.87,5.00
ORIENTCEM,"4,875",238,294,28.0,80.3,0.64,12.0,7.85,1.00
MPHASIS,"49,844","2,639","2,838",32.7,260,1.86,38.5,29.7,10.0
DEN,"2,758",57.8,69.4,9.63,74.0,0.00,3.03,6.40,10.0
BIKAJI,"13,220",528,606,68.9,42.0,0.14,17.7,14.4,1.00
L&TFH,"43,046",173,179,31.8,53.7,1.17,2.30,1.85,10.0
IMFA,"3,475",644,688,9.27,377,1.52,18.0,13.1,10.0
SHRIRAMFIN,"93,550","2,490","2,533",14.3,"1,226",1.41,12.1,17.3,10.0
EMAMILTD,"20,457",464,589,31.2,53.3,1.74,26.1,26.0,1.00
DCMSHRIRAM,"15,299",981,"1,175",30.5,403,1.42,19.5,15.9,2.00
NEWGEN,"11,561",825,901,54.4,69.1,0.29,24.0,20.0,10.0
BATAINDIA,"18,354","1,428","1,771",63.3,109,0.94,19.6,19.8,5.00
ESABINDIA,"7,857","5,105","6,586",48.9,202,1.52,70.7,53.2,10.0
CRAFTSMAN,"9,202","4,355","5,514",39.6,694,0.25,20.8,18.9,5.00
MIDHANI,"8,199",438,548,73.8,70.4,0.76,14.6,12.6,10.0
MUTHOOTFIN,"52,748","1,314","1,537",13.5,579,1.68,12.1,17.6,10.0
PVRINOX,"13,801","1,406","1,880",,760,0.00,3.28,-7.66,10.0
MEDANTA,"39,096","1,456","1,514",112,99.4,0.00,15.9,12.5,2.00
ARE&M,"14,461",847,922,17.7,331,0.70,20.2,14.8,1.00
LAXMIMACH,"15,725","14,720","15,501",40.2,"2,340",0.68,20.9,15.1,10.0
MAHLIFE,"9,567",617,640,,102,0.36,1.70,1.42,10.0
BRITANNIA,"1,18,140","4,905","5,386",55.9,102,1.47,53.1,70.5,1.00
MASFIN,"5,427",331,388,23.0,99.4,0.38,11.5,14.1,10.0
GLAXO,"36,834","2,174","2,650",58.0,91.4,1.48,36.0,26.5,10.0
MANAPPURAM,"15,507",183,193,10.0,114,1.61,11.6,15.0,2.00
IONEXCHANG,"7,342",501,688,36.1,68.4,0.25,28.7,21.7,1.00
WABAG,"4,864",782,789,15.6,203,0.00,22.5,-60.3,2.00
SAPPHIRE,"9,644","1,514","1,568",51.8,211,0.00,9.20,19.6,10.0
NEULANDLAB,"8,939","6,968","7,412",28.2,879,0.13,20.9,18.0,10.0
MMTC,"12,150",81.0,102,"1,081",8.59,0.00,-1.27,-18.6,1.00
ESCORTS,"31,699","2,869","3,440",31.7,786,0.24,11.1,8.32,10.0
RBLBANK,"16,289",270,301,15.0,226,0.56,5.46,6.74,10.0
NAVNETEDUL,"3,506",155,176,16.8,65.5,1.68,22.6,18.8,2.00
GODREJCP,"1,27,160","1,243","1,314",69.9,100,0.41,21.4,17.4,1.00
IDFCFIRSTB,"59,266",83.8,101,19.5,38.9,0.00,6.56,10.4,10.0
HIKAL,"3,470",281,329,48.4,92.9,0.42,8.43,7.08,2.00
RAIN,"6,413",191,220,121,27.4,0.52,6.84,5.81,2.00
NLCINDIA,"33,501",242,294,13.6,114,1.46,20.0,14.8,10.0
EMUDHRA,"4,971",600,607,403,41.0,0.21,11.7,8.87,5.00
INDUSTOWER,"66,524",247,252,11.9,88.0,0.00,11.3,9.71,10.0
HEG,"6,506","1,686","2,011",22.8,"1,055",2.54,13.5,11.6,10.0
ASAHIINDIA,"13,003",535,651,39.5,93.4,0.37,20.6,18.4,1.00
CLEAN,"15,457","1,455","1,622",60.9,103,0.34,45.4,34.0,1.00
PTCIL,"11,709","8,625","9,540",470,263,0.00,11.1,9.42,10.0
