Stock,"Market Cap","Current Price","High / Low","Stock P/E","Book Value","Dividend Yield",ROCE,ROE,"Face Value"
ABBOTINDIA,"60,300","28,377","29,639",52.7,"1,463",0.63,41.1,31.6,10.0
ACCELYA,"2,891","1,936","2,128",25.2,177,3.37,54.3,43.2,10.0
GRINFRA,"12,125","1,254","1,382",18.0,574,0.00,21.0,17.6,5.00
GRANULES,"11,435",472,480,24.7,118,0.32,19.5,19.1,1.00
MHRIL,"8,743",433,470,48.9,41.3,0.00,25.1,24.3,10.0
HINDPETRO,"73,736",520,595,4.90,277,2.90,-10.8,-27.0,10.0
SBILIFE,"1,54,266","1,541","1,548",82.9,144,0.16,15.5,14.0,10.0
UTIAMC,"11,622",913,965,21.2,264,2.42,17.3,13.0,10.0
EPIGRAL,"5,200","1,252","1,468",26.6,272,0.41,32.1,39.4,10.0
STYLAMIND,"2,666","1,573","1,980",22.6,278,0.15,31.8,26.3,5.00
KIRLOSBROS,"7,362",927,"1,062",38.0,161,0.49,16.9,13.5,2.00
HEMIPROP,"6,263",220,265,,12.7,0.00,-0.30,-1.75,10.0
INDIGO,"1,21,932","3,159","3,301",17.0,-77.5,0.00,6.90,,10.0
UJJIVAN,"6,536",537,615,35.3,155,0.92,6.78,5.91,10.0
GET&D,"21,687",847,855,245,44.3,0.00,7.53,-0.20,2.00
ROLEXRINGS,"5,830","2,141","2,620",32.6,308,0.00,31.8,30.8,10.0
INTELLECT,"13,374",978,"1,058",75.3,121,0.26,13.7,8.93,5.00
VBL,"2,00,750","1,545","1,560",113,54.5,0.08,24.8,28.2,5.00
MANINFRA,"8,026",216,249,50.6,32.8,0.74,19.7,15.4,2.00
APOLLOHOSP,"96,269","6,695","6,874",96.4,507,0.22,15.8,16.5,5.00
TRIDENT,"22,530",44.2,52.9,54.4,8.12,0.80,11.6,10.6,1.00
ADANIENT,"3,78,252","3,318","3,327",148,133,0.04,22.1,17.4,1.00
BRIGADE,"23,151","1,002","1,108",88.1,173,0.20,11.1,9.26,10.0
LEMONTREE,"11,202",141,147,121,13.9,0.00,10.2,7.80,10.0
BLUESTARCO,"26,936","1,310","1,318",84.6,112,0.94,22.4,21.0,2.00
AEGISCHEM,"15,098",430,472,34.2,63.2,1.33,45.9,43.9,1.00
PARADEEP,"6,467",79.4,85.9,73.2,42.2,0.62,11.0,11.0,10.0
MAXHEALTH,"81,612",840,910,143,72.5,0.12,8.51,10.4,10.0
ECLERX,"12,108","2,470","2,828",32.8,272,0.04,39.7,31.7,10.0
APOLLOPIPE,"2,922",742,799,57.3,142,0.08,8.91,5.53,10.0
HCC,"6,641",43.9,47.9,44.1,5.33,0.00,30.8,4.83,1.00
ARVIND,"7,509",287,319,24.8,126,1.32,11.8,10.2,10.0
BIRLACORPN,"13,295","1,726","1,770",73.6,703,0.15,2.87,1.27,10.0
WONDERLA,"5,386",952,"1,014",31.6,183,0.26,22.0,16.4,10.0
ADANIENSOL,"1,27,250","1,141","1,250",221,96.2,0.00,4.61,2.38,10.0
GPIL,"10,479",771,845,11.8,285,0.51,29.5,23.2,5.00
LTTS,"57,391","5,429","5,679",45.9,426,0.83,32.6,25.0,2.00
JSL,"53,688",652,658,19.8,152,0.23,21.4,19.3,2.00
CEATLTD,"11,871","2,935","3,000",17.6,904,0.41,9.96,7.10,10.0
GANESHHOUC,"6,972",836,836,29.1,120,0.30,16.0,10.0,10.0
PRUDENT,"5,760","1,391","1,449",62.1,74.0,0.11,41.6,32.0,5.00
BCG,"3,650",18.1,36.8,202,7.80,0.00,0.86,0.58,2.00
VTL,"12,459",431,456,21.8,296,0.80,10.7,9.06,2.00
GLS,"10,837",884,900,20.9,195,2.52,29.9,22.3,2.00
MAYURUNIQ,"2,286",520,618,19.9,184,0.38,17.8,14.4,5.00
BAJAJ-AUTO,"2,40,987","8,510","8,650",34.6,896,1.65,28.1,21.3,10.0
SUZLON,"59,686",44.3,50.7,,2.59,0.00,3.20,,2.00
RVNL,"56,410",271,346,41.1,34.1,0.79,17.7,20.9,10.0
DBREALTY,"13,843",276,285,18.7,94.2,0.00,1.94,1.28,10.0
OLECTRA,"16,667","2,031","2,222",186,108,0.02,13.9,8.68,4.00
KTKBANK,"8,234",237,287,5.94,263,2.12,5.86,15.4,10.0
PETRONET,"43,118",287,296,12.6,107,2.43,26.6,22.8,10.0
LT,"4,77,656","3,475","3,739",51.2,432,0.70,13.9,11.7,2.00
WOCKPHARMA,"8,082",561,595,,106,0.00,-1.22,-11.6,5.00
APLAPOLLO,"40,455","1,458","1,806",73.8,98.2,0.35,27.0,21.7,2.00
EIHOTEL,"25,352",405,486,47.3,51.5,0.26,15.5,12.0,2.00
HDFCAMC,"81,011","3,795","3,894",45.4,282,1.25,32.3,24.5,5.00
JINDALSTEL,"79,618",780,805,16.3,420,0.25,13.8,6.76,1.00
CONCOR,"59,802",982,"1,035",49.2,191,1.12,13.8,10.6,5.00
POLICYBZR,"48,956","1,085","1,114",610,168,0.00,-1.18,-1.20,2.00
TATAMTRDVR,"31,494",619,636,,375,0.34,,,2.00
CENTURYPLY,"16,208",730,850,46.1,92.2,0.13,27.8,22.9,1.00
MOLDTKPAC,"2,875",867,"1,105",40.1,179,0.68,19.6,16.1,5.00
AARTIDRUGS,"4,849",524,646,30.5,120,0.19,15.3,14.6,10.0
BOSCHLTD,"83,478","28,304","29,200",49.6,"3,929",1.71,17.4,13.2,10.0
EQUITASBNK,"11,515",102,116,14.7,46.4,0.98,8.04,12.2,10.0
DBL,"6,648",455,504,21.1,329,0.02,8.89,2.53,10.0
CIPLA,"1,18,964","1,474","1,494",36.2,321,0.59,14.9,10.8,2.00
SCHAEFFLER,"45,681","2,923","3,726",50.1,308,0.82,26.8,20.0,2.00
TDPOWERSYS,"4,591",294,314,38.4,41.4,0.18,20.9,15.9,2.00
BHARATFORG,"52,756","1,133","1,330",40.3,175,0.64,12.6,13.1,2.00
TATAMOTORS,"3,43,825",940,950,57.6,69.6,0.21,8.23,13.8,2.00
IPCALAB,"30,817","1,215","1,264",56.0,245,0.33,11.3,8.57,1.00
SUNPHARMA,"3,73,924","1,558","1,568",90.7,100,0.74,16.8,13.9,1.00
CHEMPLASTS,"7,424",470,543,,249,0.00,6.00,4.77,5.00
PSPPROJECT,"2,498",694,846,16.1,241,0.35,24.8,18.1,10.0
NAUKRI,"67,762","5,237","5,545",82.7,"1,285",0.37,7.37,4.84,10.0
HCLTECH,"4,47,836","1,650","1,697",38.1,146,3.17,34.2,26.9,2.00
BHARTIARTL,"6,52,366","1,109","1,201",122,144,0.36,8.39,-0.53,5.00
ITI,"29,898",311,384,,21.7,0.00,-3.60,-14.7,10.0
NEOGEN,"3,557","1,348","1,859",87.4,188,0.22,13.2,10.9,10.0
FSL,"14,600",207,222,51.1,35.0,1.69,12.7,10.6,10.0
TINPLATE,"4,506",430,462,48.3,118,0.70,15.8,11.1,10.0
GLENMARK,"26,380",935,939,25.1,651,0.29,10.9,9.12,1.00
INDHOTEL,"80,844",568,603,76.3,63.9,0.17,12.4,9.91,1.00
TATASTEEL,"1,79,763",144,147,10.3,103,2.52,15.1,12.3,1.00
BEPL,"2,443",98.2,118,16.0,35.8,3.05,19.1,13.3,1.00
RAINBOW,"12,997","1,280","1,469",59.0,115,0.23,23.7,24.4,10.0
